category,Achilles,Alice,Ancient Leshen,Angel,Annie Christmas,Beowulf,Bigfoot,Black Panther,Black Widow,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Xander,Bullseye,Ciri,Cloak & Dagger,Daredevil,Deadpool,Doctor Strange,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Jekyll & Hyde,King Arthur,Little Red Riding Hood,Luke Cage,Medusa,Moon Knight,Ms. Marvel,Nikola Tesla,Oda Nobunaga,Philippa,Raptors,Robin Hood,Shakespeare,She-Hulk,Sherlock Holmes,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
T. Rex,107,87,1,0,16,20,78,40,24,3,22,2,2,42,0,3,112,1,82,27,59,13,19,0,0,25,32,1,56,61,4,2,2,32,114,51,94,2,47,0,0,19,23,7,99,27,49,14,0,1,90,0,56,11,25,43,0,3,29,0,72
The Genie,54,31,0,0,25,25,33,25,63,22,25,0,1,38,0,15,41,1,12,3,33,49,2,0,1,40,25,0,68,43,11,5,6,61,19,29,37,10,34,18,0,77,48,10,3,29,16,2,1,5,36,56,0,20,53,95,0,0,62,0,44
The Wayward Sisters,14,3,0,0,15,0,3,0,5,0,5,0,0,2,0,1,10,1,1,1,2,10,0,0,0,2,5,13,4,0,1,1,1,18,9,3,14,3,8,3,0,21,21,31,1,0,16,1,0,1,1,11,20,0,25,15,0,0,1,0,1
Titania,16,10,1,0,31,0,5,4,25,3,3,1,0,2,0,1,24,0,11,6,6,13,1,0,1,9,3,18,5,21,0,0,3,35,25,5,31,3,28,4,0,51,14,49,4,27,16,3,0,0,11,25,53,25,0,76,0,1,25,0,3
Tomoe Gozen,76,18,0,1,20,10,24,10,97,12,1,1,0,17,0,2,56,0,46,15,13,18,3,1,0,9,38,1,16,28,0,1,0,33,33,56,29,4,121,39,0,53,40,18,22,15,10,7,0,1,19,43,95,15,76,0,0,0,60,1,71
Triss,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willow,2,4,0,6,0,1,3,0,0,12,4,2,0,1,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,2,3,12,8,3,5,0,0,0,0,1,0,2,2,0,0,0,5,7,4,5,2,3,0,0,1,0,0,0,0,0,0
Winter Soldier,23,2,0,0,11,4,20,63,117,3,7,0,1,42,0,12,33,0,60,5,5,11,5,1,0,8,16,2,53,14,0,3,0,38,13,76,47,6,82,1,0,38,30,4,56,40,18,9,0,1,60,29,62,1,25,60,0,0,0,0,99
Yennefer,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Yennenga,235,24,0,1,8,12,200,39,60,48,54,2,9,69,0,32,133,2,64,50,36,58,32,1,0,25,48,1,153,22,14,9,9,143,134,227,66,13,119,1,0,59,85,0,76,33,110,3,3,8,140,72,44,1,3,71,0,0,99,0,0
