category,Achilles,Alice,Ancient Leshen,Angel,Annie Christmas,Beowulf,Bigfoot,Black Panther,Black Widow,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Xander,Bullseye,Ciri,Cloak & Dagger,Daredevil,Deadpool,Doctor Strange,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Jekyll & Hyde,King Arthur,Little Red Riding Hood,Luke Cage,Medusa,Moon Knight,Ms. Marvel,Nikola Tesla,Oda Nobunaga,Philippa,Raptors,Robin Hood,Shakespeare,She-Hulk,Sherlock Holmes,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Moon Knight,53,45,N/A,N/A,68,37,43,35,31,23,35,0,N/A,29,N/A,0,34,22,48,70,57,41,75,N/A,N/A,18,78,29,59,53,100,27,18,36,53,86,N/A,56,43,100,N/A,61,30,55,42,86,38,0,50,N/A,91,57,30,21,29,59,N/A,N/A,26,N/A,76
Ms. Marvel,100,73,N/A,N/A,78,29,80,38,86,70,65,N/A,100,33,0,65,40,0,100,100,82,67,100,N/A,N/A,44,50,40,100,0,14,83,0,77,100,100,44,N/A,60,75,N/A,65,43,56,60,0,75,100,67,57,100,50,30,33,0,75,N/A,N/A,67,N/A,77
Nikola Tesla,58,25,0,100,41,0,68,35,24,50,71,N/A,0,22,N/A,35,15,N/A,29,42,0,20,67,N/A,N/A,17,54,N/A,76,5,0,67,0,56,75,47,57,40,N/A,0,N/A,65,26,32,51,75,63,N/A,N/A,N/A,37,62,38,50,46,58,N/A,N/A,27,N/A,34
Oda Nobunaga,75,25,N/A,33,N/A,67,100,0,57,40,100,N/A,100,100,N/A,N/A,60,0,100,100,100,100,N/A,N/A,N/A,N/A,100,0,100,N/A,50,26,87,50,100,0,0,25,100,N/A,N/A,18,63,N/A,100,100,N/A,50,0,50,100,N/A,33,67,100,44,N/A,0,0,N/A,100
Philippa,N/A,N/A,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,50,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Raptors,61,36,N/A,25,32,15,72,19,51,21,63,40,44,43,N/A,45,17,0,100,29,40,53,94,N/A,N/A,43,43,21,63,52,14,33,20,27,65,80,39,35,35,82,N/A,N/A,67,29,28,39,71,25,11,0,71,84,61,24,37,36,N/A,50,16,N/A,54
Robin Hood,59,57,N/A,17,79,49,69,84,56,67,53,41,62,52,N/A,62,38,50,100,91,59,52,78,N/A,N/A,100,75,40,32,63,38,17,38,60,84,58,70,57,74,38,N/A,33,N/A,44,83,81,58,80,29,50,53,96,54,33,50,55,N/A,50,57,0,78
Shakespeare,77,41,N/A,50,59,73,67,39,67,N/A,53,100,100,38,N/A,42,62,N/A,50,50,N/A,100,100,N/A,N/A,0,75,65,0,0,100,N/A,50,64,88,50,45,44,68,N/A,N/A,71,56,N/A,60,0,32,N/A,N/A,N/A,N/A,86,50,58,65,72,N/A,N/A,0,N/A,N/A
She-Hulk,59,56,N/A,N/A,25,33,54,23,24,33,50,N/A,N/A,50,N/A,N/A,40,0,58,43,0,10,58,N/A,N/A,0,73,0,23,50,67,50,N/A,27,53,52,58,40,49,0,N/A,72,17,40,N/A,50,41,42,N/A,N/A,47,45,33,0,50,68,N/A,N/A,32,N/A,39
Sherlock Holmes,32,38,N/A,33,25,21,23,20,31,0,10,0,33,37,N/A,50,0,100,0,100,25,29,40,N/A,N/A,7,50,N/A,65,21,0,14,0,29,20,52,14,100,25,0,N/A,61,19,100,50,N/A,39,N/A,0,N/A,43,59,41,N/A,59,40,N/A,N/A,15,0,55
Sinbad,63,55,N/A,0,54,14,74,39,45,28,50,0,31,15,N/A,55,38,0,100,49,48,76,81,N/A,N/A,50,41,36,62,73,5,44,43,15,68,70,62,25,38,N/A,N/A,29,42,68,59,61,N/A,0,0,50,80,59,38,25,69,50,N/A,0,61,N/A,9
Spider-Man,67,0,100,0,33,100,57,50,69,84,48,25,50,50,100,67,67,67,85,N/A,60,57,0,100,N/A,100,100,50,71,N/A,79,29,57,100,100,N/A,100,0,N/A,50,N/A,75,20,N/A,58,N/A,100,N/A,40,83,100,71,0,100,67,100,N/A,14,33,N/A,100
Spike,N/A,100,N/A,57,100,50,100,N/A,N/A,50,67,100,50,N/A,N/A,0,N/A,33,N/A,N/A,100,100,100,N/A,N/A,100,50,100,100,75,100,60,60,100,75,N/A,50,33,N/A,100,N/A,89,71,N/A,N/A,100,100,60,N/A,50,100,N/A,100,N/A,N/A,N/A,N/A,50,N/A,N/A,100
Squirrel Girl,50,100,N/A,50,50,100,100,50,N/A,35,61,50,100,100,N/A,64,100,50,N/A,N/A,100,100,0,N/A,N/A,100,0,N/A,0,0,27,81,33,40,100,N/A,N/A,43,N/A,50,N/A,100,50,N/A,N/A,N/A,50,17,50,N/A,100,0,40,100,N/A,100,N/A,40,100,N/A,63
Sun Wukong,21,9,0,N/A,13,20,17,41,48,18,70,67,0,25,N/A,0,65,N/A,74,39,29,30,89,N/A,N/A,49,34,N/A,50,24,0,0,0,40,38,73,9,0,63,0,100,29,47,N/A,53,57,20,0,0,0,N/A,71,36,0,18,5,N/A,0,55,N/A,65
T. Rex,60,54,0,N/A,69,25,60,55,17,0,68,50,0,12,N/A,67,49,0,24,48,69,31,84,N/A,N/A,4,41,0,45,41,25,0,50,28,36,45,43,50,38,N/A,N/A,16,4,14,55,41,41,29,N/A,100,29,N/A,50,45,60,37,N/A,0,14,N/A,46
The Genie,85,58,N/A,N/A,40,72,88,44,52,59,64,N/A,100,32,N/A,40,27,0,75,100,76,39,50,N/A,0,30,80,N/A,57,44,36,20,33,61,89,72,70,70,62,67,N/A,39,46,50,67,59,63,100,0,60,64,50,N/A,65,62,49,N/A,N/A,44,N/A,75
The Wayward Sisters,64,33,N/A,N/A,40,N/A,67,N/A,20,N/A,60,N/A,N/A,50,N/A,0,70,0,100,100,50,40,N/A,N/A,N/A,0,60,31,75,N/A,0,0,100,67,67,67,79,67,50,33,N/A,76,67,42,100,N/A,75,0,N/A,0,100,55,35,N/A,80,53,N/A,N/A,0,N/A,100
Titania,63,50,0,N/A,42,N/A,80,75,44,67,0,0,N/A,100,N/A,0,42,N/A,36,50,67,46,100,N/A,0,33,33,33,80,57,N/A,N/A,0,66,64,80,71,100,54,0,N/A,63,50,35,50,41,31,33,N/A,N/A,82,40,38,20,N/A,47,N/A,0,36,N/A,67
Tomoe Gozen,67,50,N/A,0,75,40,67,30,29,67,100,0,N/A,12,N/A,100,21,N/A,54,33,31,28,100,100,N/A,0,32,0,75,46,N/A,100,N/A,61,67,73,41,25,42,56,N/A,64,45,28,32,60,50,0,N/A,0,95,63,51,47,53,N/A,N/A,N/A,23,0,66
Triss,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Willow,50,100,N/A,50,N/A,100,100,N/A,N/A,100,100,50,N/A,100,N/A,N/A,0,50,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,67,58,50,100,100,N/A,N/A,N/A,N/A,100,N/A,50,50,N/A,N/A,N/A,100,86,50,60,100,100,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A
Winter Soldier,78,0,N/A,N/A,91,25,85,40,52,0,71,N/A,100,45,N/A,50,52,N/A,60,40,40,64,80,100,N/A,38,25,0,92,36,N/A,67,N/A,74,85,47,74,33,73,100,N/A,84,43,100,68,85,39,67,N/A,0,45,86,56,100,64,77,N/A,N/A,N/A,N/A,60
Yennefer,N/A,N/A,0,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A
Yennenga,40,33,N/A,0,13,17,39,56,50,60,50,50,33,68,N/A,44,62,100,41,50,67,16,84,100,N/A,36,75,0,49,9,0,44,22,53,60,43,24,23,66,0,N/A,46,22,N/A,61,45,91,0,0,38,35,54,25,0,33,34,N/A,N/A,40,N/A,N/A
